conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method
123,4,4,4,0,True,True
124,4,4,4,0,True,True
125,4,4,4,0,True,True
126,4,4,4,0,True,True
127,4,4,4,0,True,True
128,4,4,4,0,True,True
129,4,4,4,0,True,True
130,4,4,4,0,True,True
131,4,4,4,0,True,True
132,4,4,4,0,True,True
133,4,4,4,0,True,True
134,4,4,4,0,True,True
135,4,4,4,0,True,True
136,4,4,4,0,True,True
137,4,4,4,0,True,True
138,4,4,4,0,True,True
139,4,4,4,0,True,True
140,4,4,4,0,True,True
141,4,4,4,0,True,True
142,4,4,4,0,True,True
143,4,4,4,0,True,True
144,4,4,4,0,True,True
145,4,4,4,0,True,True
146,4,4,4,0,True,True
147,4,4,4,0,True,True
148,4,4,4,0,True,True
149,4,4,4,0,True,True
150,4,4,4,0,True,True
151,4,4,4,0,True,True
152,4,4,4,0,True,True
153,4,4,4,0,True,True
154,4,4,4,0,True,True
155,4,4,4,0,True,True
156,4,4,4,0,True,True
157,4,4,4,0,True,True
158,4,4,4,0,True,True
159,4,4,4,0,True,True
160,4,4,4,0,True,True
161,4,4,4,0,True,True
162,4,4,4,0,True,True
163,4,4,4,0,True,True
164,4,4,4,0,True,True
165,4,4,4,0,True,True
166,4,4,4,0,True,True
167,4,4,4,0,True,True
168,4,4,4,0,True,True
169,4,4,4,0,True,True
170,4,4,4,0,True,True
171,4,4,4,0,True,True
172,4,4,4,0,True,True
173,4,4,4,0,True,True
174,4,4,4,0,True,True
175,4,4,4,0,True,True
176,4,4,4,0,True,True
177,4,4,4,0,True,True
178,4,4,4,0,True,True
179,4,4,4,0,True,True
180,4,4,4,0,True,True
181,4,4,4,0,True,True
182,4,4,4,0,True,True
183,4,4,4,0,True,True
184,4,4,4,0,True,True
185,4,4,4,0,True,True
186,4,4,4,0,True,True
187,4,4,4,0,True,True
188,4,4,4,0,True,True
189,4,4,4,0,True,True
190,4,4,4,0,True,True
191,4,4,4,0,True,True
192,4,4,4,0,True,True
193,4,4,4,0,True,True
194,4,4,4,0,True,True
195,4,4,4,0,True,True
196,4,4,4,0,True,True
197,4,4,4,0,True,True
198,4,4,4,0,True,True
199,4,4,4,0,True,True
200,4,4,4,0,True,True
201,4,4,4,0,True,True
202,4,4,4,0,True,True
203,4,4,4,0,True,True
204,4,4,4,0,True,True
205,4,4,4,0,True,True
206,4,4,4,0,True,True
207,4,4,4,0,True,True
208,4,4,4,0,True,True
209,4,4,4,0,True,True
210,4,4,4,0,True,True
211,4,4,4,0,True,True
212,4,4,4,0,True,True
213,4,4,4,0,True,True
214,4,4,4,0,True,True
215,4,4,4,0,True,True
216,4,4,4,0,True,True
217,4,4,4,0,True,True
218,4,4,4,0,True,True
219,4,4,4,0,True,True
220,4,4,4,0,True,True
221,4,4,4,0,True,True
222,4,4,4,0,True,True
223,4,4,4,0,True,True
224,4,4,4,0,True,True
225,4,4,4,0,True,True
226,4,4,4,0,True,True
227,4,4,4,0,True,True
228,4,4,4,0,True,True
229,4,4,4,0,True,True
230,4,4,4,0,True,True
231,4,4,4,0,True,True
232,4,4,4,0,True,True
233,4,4,4,0,True,True
234,4,4,4,0,True,True
235,4,4,4,0,True,True
236,4,4,4,0,True,True
237,4,4,4,0,True,True
238,4,4,4,0,True,True
239,4,4,4,0,True,True
240,4,4,4,0,True,True
241,4,4,4,0,True,True
242,4,4,4,0,True,True
243,4,4,4,0,True,True
244,4,4,4,0,True,True
245,4,4,4,0,True,True
246,4,4,4,0,True,True
247,4,4,4,0,True,True
248,4,4,4,0,True,True
249,4,4,4,0,True,True
250,4,4,4,0,True,True
251,4,4,4,0,True,True
252,4,4,4,0,True,True
253,4,4,4,0,True,True
254,4,4,4,0,True,True
255,4,4,4,0,True,True
256,2,3,3,1,True,True
257,2,3,3,1,True,True
258,1,1,1,0,True,True
259,1,1,1,0,True,True
260,1,1,1,0,True,True
261,1,1,1,0,True,True
262,1,1,1,0,True,True
263,1,1,1,0,True,True
264,1,1,1,0,True,True
265,1,1,1,0,True,True
266,1,1,1,0,True,True
267,1,1,1,0,True,True
268,1,1,1,0,True,True
269,1,1,1,0,True,True
270,1,1,1,0,True,True
271,1,1,1,0,True,True
272,1,1,1,0,True,True
273,1,1,1,0,True,True
274,1,1,1,0,True,True
275,1,1,1,0,True,True
276,1,1,1,0,True,True
277,3,3,3,0,True,True
278,2,2,2,0,True,True
279,1,1,1,0,True,True
280,1,1,1,0,True,True
281,1,1,1,0,True,True
282,1,1,1,0,True,True
283,1,1,1,0,True,True
284,1,1,1,0,True,True
285,1,1,1,0,True,True
286,1,1,1,0,True,True
287,1,1,1,0,True,True
288,3,3,3,0,True,True
289,2,2,2,0,True,True
290,1,1,1,0,True,True
291,1,1,1,0,True,True
292,1,1,1,0,True,True
293,1,1,1,0,True,True
294,1,1,1,0,True,True
295,1,1,1,0,True,True
296,1,1,1,0,True,True
297,1,1,1,0,True,True
298,1,1,1,0,True,True
299,2,2,2,0,True,True
300,1,1,1,0,True,True
301,2,2,2,0,True,True
302,1,1,1,0,True,True
303,3,3,3,0,True,True
304,1,1,1,0,True,True
305,3,3,3,0,True,True
306,1,1,1,0,True,True
307,3,3,3,0,True,True
308,1,1,1,0,True,True
309,3,3,3,0,True,True
310,1,1,1,0,True,True
311,3,3,3,0,True,True
312,1,1,1,0,True,True
313,3,3,3,0,True,True
314,1,1,1,0,True,True
315,1,1,1,0,True,True
316,3,3,3,0,True,True
317,1,1,1,0,True,True
318,4,4,4,0,True,True
319,3,3,3,0,True,True
320,6,4,6,2,True,True
321,5,3,5,2,True,True
322,2,2,2,0,True,True
323,2,2,2,0,True,True
324,6,2,6,4,True,True
325,4,3,4,1,True,True
326,8,7,8,1,True,True
327,1,1,1,0,True,True
328,1,1,1,0,True,True
329,1,1,1,0,True,True
330,1,1,1,0,True,True
331,1,1,1,0,True,True
332,1,1,1,0,True,True
333,1,1,1,0,True,True
334,1,1,1,0,True,True
335,1,1,1,0,True,True
336,1,1,1,0,True,True
337,1,1,1,0,True,True
338,1,1,1,0,True,True
339,1,1,1,0,True,True
340,1,1,1,0,True,True
341,1,1,1,0,True,True
342,1,1,1,0,True,True
343,1,1,1,0,True,True
344,1,1,1,0,True,True
345,1,1,1,0,True,True
346,1,1,1,0,True,True
347,1,1,1,0,True,True
348,1,1,1,0,True,True
349,3,3,3,0,True,True
350,1,1,1,0,True,True
351,1,1,1,0,True,True
352,1,1,1,0,True,True
353,1,1,1,0,True,True
354,1,1,1,0,True,True
355,1,1,1,0,True,True
356,1,1,1,0,True,True
357,1,1,1,0,True,True
358,1,1,1,0,True,True
359,1,1,1,0,True,True
360,1,1,1,0,True,True
361,3,3,3,0,True,True
362,1,1,1,0,True,True
363,1,1,1,0,True,True
364,1,1,1,0,True,True
365,1,1,1,0,True,True
366,1,1,1,0,True,True
367,1,1,1,0,True,True
368,1,1,1,0,True,True
369,1,1,1,0,True,True
370,1,1,1,0,True,True
371,1,1,1,0,True,True
372,1,1,1,0,True,True
373,3,4,4,1,True,True
374,3,2,3,1,True,False
375,2,1,2,1,True,False
376,2,2,2,0,True,True
377,3,3,3,0,True,True
378,2,2,2,0,True,True
379,5,5,5,0,True,True
380,7,9,9,2,True,True
381,9,6,9,3,True,True
382,8,6,8,2,True,True
383,4,3,4,1,True,True
384,4,3,4,1,True,True
385,1,1,1,0,True,True
386,2,2,2,0,True,True
387,1,1,1,0,True,True
388,3,3,3,0,True,True
389,1,1,1,0,True,True
390,2,2,2,0,True,True
391,1,1,1,0,True,True
392,4,4,4,0,True,True
393,3,3,3,0,True,True
394,4,4,4,0,True,True
395,4,3,4,1,True,True
396,4,4,4,0,True,True
397,3,4,4,1,True,True
398,1,1,1,0,True,True
399,1,1,1,0,True,True
400,3,4,4,1,True,True
401,3,3,3,0,True,True
402,4,4,4,0,True,True
403,4,4,4,0,True,True
404,4,3,4,1,True,True
405,3,3,3,0,True,True
406,1,1,1,0,True,True
407,1,1,1,0,True,True
408,4,2,4,2,True,True
409,1,1,1,0,True,True
410,1,1,1,0,True,True
411,1,1,1,0,True,True
412,1,1,1,0,True,True
413,1,1,1,0,True,True
414,1,1,1,0,True,True
415,1,1,1,0,True,True
416,1,1,1,0,True,True
417,1,1,1,0,True,True
418,1,1,1,0,True,True
419,1,1,1,0,True,True
420,1,1,1,0,True,True
421,3,2,3,1,True,False
422,3,2,3,1,True,False
423,1,1,1,0,True,True
424,1,1,1,0,True,True
425,1,1,1,0,True,True
426,1,1,1,0,True,True
427,2,2,2,0,True,True
428,2,2,2,0,True,True
429,2,2,2,0,True,True
430,1,1,1,0,True,True
431,1,1,1,0,True,True
432,1,1,1,0,True,True
433,1,1,1,0,True,True
434,1,1,1,0,True,True
435,1,1,1,0,True,True
436,1,1,1,0,True,True
437,1,1,1,0,True,True
438,1,1,1,0,True,True
439,1,1,1,0,True,True
440,1,1,1,0,True,True
441,1,1,1,0,True,True
442,3,3,3,0,True,True
443,2,2,2,0,True,True
444,2,2,2,0,True,True
445,2,2,2,0,True,True
446,2,2,2,0,True,True
447,2,2,2,0,True,True
448,2,2,2,0,True,True
449,1,1,1,0,True,True
450,1,1,1,0,True,True
451,1,1,1,0,True,True
452,1,1,1,0,True,True
453,2,5,5,3,True,True
454,1,1,1,0,True,True
455,2,2,2,0,True,True
456,1,1,1,0,True,True
457,1,1,1,0,True,True
458,1,1,1,0,True,True
459,1,1,1,0,True,True
460,1,1,1,0,True,True
461,1,1,1,0,True,True
462,2,2,2,0,True,True
463,1,1,1,0,True,True
464,1,1,1,0,True,True
465,1,1,1,0,True,True
466,1,1,1,0,True,True
467,1,1,1,0,True,True
468,1,1,1,0,True,True
469,1,1,1,0,True,True
470,2,2,2,0,True,True
471,2,2,2,0,True,True
472,5,4,5,1,True,True
473,3,3,3,0,True,True
474,2,3,3,1,True,False
475,2,3,3,1,True,False
476,2,2,2,0,True,True
477,5,5,5,0,True,True
478,1,1,1,0,True,True
479,1,1,1,0,True,True
480,1,1,1,0,True,True
481,1,1,1,0,True,True
482,1,1,1,0,True,True
483,3,3,3,0,True,True
484,1,1,1,0,True,True
485,1,1,1,0,True,True
486,3,3,3,0,True,True
487,1,1,1,0,True,True
488,1,1,1,0,True,True
489,3,3,3,0,True,True
490,1,1,1,0,True,True
491,3,3,3,0,True,True
492,1,1,1,0,True,True
493,1,1,1,0,True,True
494,1,1,1,0,True,True
495,1,1,1,0,True,True
496,1,1,1,0,True,True
497,1,1,1,0,True,True
498,2,4,4,2,True,True
499,1,1,1,0,True,True
500,1,1,1,0,True,True
501,1,1,1,0,True,True
502,1,1,1,0,True,True
503,2,2,2,0,True,True
504,2,2,2,0,True,True
505,1,1,1,0,True,True
506,2,2,2,0,True,True
507,2,2,2,0,True,True
508,1,1,1,0,True,True
509,1,1,1,0,True,True
510,1,1,1,0,True,True
511,4,4,4,0,True,True
512,3,3,3,0,True,True
513,4,4,4,0,True,True
514,1,1,1,0,True,True
515,1,1,1,0,True,True
516,1,1,1,0,True,True
517,1,1,1,0,True,True
518,1,1,1,0,True,True
519,1,1,1,0,True,True
520,1,1,1,0,True,True
521,1,1,1,0,True,True
522,1,1,1,0,True,True
523,1,1,1,0,True,True
524,1,1,1,0,True,True
525,1,1,1,0,True,True
526,8,3,8,5,True,True
527,8,3,8,5,True,True
528,1,1,1,0,True,True
529,1,1,1,0,True,True
530,1,1,1,0,True,True
531,1,1,1,0,True,True
532,5,5,5,0,True,True
533,1,1,1,0,True,True
534,1,1,1,0,True,True
535,2,2,2,0,True,True
536,4,4,4,0,True,True
537,3,3,3,0,True,True
538,2,2,2,0,True,True
539,2,2,2,0,True,True
540,4,4,4,0,True,True
541,5,5,5,0,True,True
542,4,4,4,0,True,True
543,5,5,5,0,True,True
544,4,4,4,0,True,True
545,4,4,4,0,True,True
546,3,3,3,0,True,True
547,3,3,3,0,True,True
548,5,5,5,0,True,True
549,3,5,5,2,True,True
550,5,5,5,0,True,True
551,4,6,6,2,True,True
552,4,4,4,0,True,True
553,1,1,1,0,True,True
554,1,1,1,0,True,True
555,2,2,2,0,True,True
556,1,1,1,0,True,True
557,1,1,1,0,True,True
558,1,1,1,0,True,True
559,1,1,1,0,True,True
560,1,1,1,0,True,True
561,1,1,1,0,True,True
562,2,2,2,0,True,True
563,1,1,1,0,True,True
564,1,1,1,0,True,True
565,1,1,1,0,True,True
566,1,1,1,0,True,True
567,1,1,1,0,True,True
568,1,1,1,0,True,True
569,1,1,1,0,True,True
570,1,1,1,0,True,True
571,1,1,1,0,True,True
572,1,1,1,0,True,True
573,1,1,1,0,True,True
574,1,1,1,0,True,True
575,1,1,1,0,True,True
576,4,11,11,7,True,False
577,7,7,7,0,True,True
578,5,5,5,0,True,True
579,1,1,1,0,True,True
580,1,1,1,0,True,True
581,3,3,3,0,True,True
582,2,4,4,2,True,True
583,2,4,4,2,True,True
584,2,1,2,1,True,True
585,1,1,1,0,True,True
586,1,1,1,0,True,True
587,2,3,3,1,True,True
588,1,1,1,0,True,True
589,1,1,1,0,True,True
590,1,1,1,0,True,True
591,1,1,1,0,True,True
592,3,6,6,3,True,True
593,2,3,3,1,True,True
594,1,1,1,0,True,True
595,1,1,1,0,True,True
596,3,5,5,2,True,True
597,8,5,8,3,True,True
598,8,5,8,3,True,True
599,1,1,1,0,True,True
600,1,1,1,0,True,True
601,1,1,1,0,True,True
602,1,1,1,0,True,True
603,1,1,1,0,True,True
604,1,1,1,0,True,True
605,1,1,1,0,True,True
606,1,1,1,0,True,True
607,1,1,1,0,True,True
608,1,1,1,0,True,True
609,1,1,1,0,True,True
610,1,1,1,0,True,True
611,1,1,1,0,True,True
612,1,1,1,0,True,True
613,1,1,1,0,True,True
614,1,1,1,0,True,True
615,1,1,1,0,True,True
616,1,1,1,0,True,True
617,1,1,1,0,True,True
618,1,1,1,0,True,True
619,1,1,1,0,True,True
620,1,1,1,0,True,True
621,2,2,2,0,True,True
622,1,1,1,0,True,True
623,2,2,2,0,True,True
624,2,2,2,0,True,True
625,5,5,5,0,True,True
626,1,1,1,0,True,True
627,1,1,1,0,True,True
628,4,4,4,0,True,True
629,2,2,2,0,True,True
630,3,3,3,0,True,True
631,1,1,1,0,True,True
632,2,2,2,0,True,True
633,2,2,2,0,True,True
634,3,3,3,0,True,True
635,2,2,2,0,True,True
636,3,3,3,0,True,True
637,1,1,1,0,True,True
638,2,2,2,0,True,True
639,3,3,3,0,True,True
640,1,1,1,0,True,True
641,5,5,5,0,True,True
642,5,5,5,0,True,True
643,2,3,3,1,True,True
644,1,1,1,0,True,True
645,2,2,2,0,True,True
646,1,1,1,0,True,True
647,1,1,1,0,True,True
648,1,1,1,0,True,True
649,1,1,1,0,True,True
650,1,1,1,0,True,True
651,1,1,1,0,True,True
652,1,1,1,0,True,True
653,2,2,2,0,True,True
654,1,1,1,0,True,True
655,1,1,1,0,True,True
656,1,1,1,0,True,True
657,1,1,1,0,True,True
658,1,1,1,0,True,True
659,1,1,1,0,True,True
660,2,2,2,0,True,True
661,2,2,2,0,True,True
662,2,2,2,0,True,True
663,2,2,2,0,True,True
664,2,2,2,0,True,True
665,8,9,9,1,True,True
666,6,6,6,0,True,True
667,3,3,3,0,True,True
668,6,6,6,0,True,True
669,2,2,2,0,True,True
670,2,2,2,0,True,True
671,2,2,2,0,True,True
672,2,2,2,0,True,True
673,4,2,4,2,True,True
674,3,6,6,3,True,True
675,2,6,6,4,True,True
676,2,2,2,0,True,True
677,2,2,2,0,True,True
678,2,2,2,0,True,True
679,2,2,2,0,True,True
680,2,2,2,0,True,True
681,2,2,2,0,True,True
682,2,2,2,0,True,True
683,2,2,2,0,True,True
684,2,2,2,0,True,True
685,2,2,2,0,True,True
686,2,2,2,0,True,True
687,4,2,4,2,True,True
688,3,6,6,3,True,True
689,2,6,6,4,True,True
690,2,2,2,0,True,True
691,2,2,2,0,True,True
692,2,2,2,0,True,True
693,2,2,2,0,True,True
694,2,2,2,0,True,True
695,2,2,2,0,True,True
696,2,2,2,0,True,True
697,2,2,2,0,True,True
698,2,2,2,0,True,True
699,2,2,2,0,True,True
700,2,2,2,0,True,True
701,4,2,4,2,True,True
702,3,6,6,3,True,True
703,2,6,6,4,True,True
704,2,2,2,0,True,True
705,2,2,2,0,True,True
706,2,2,2,0,True,True
707,2,2,2,0,True,True
708,2,2,2,0,True,True
709,2,2,2,0,True,True
710,5,5,5,0,True,True
711,9,4,9,5,True,True
712,7,9,9,2,True,True
713,1,1,1,0,True,True
714,1,1,1,0,True,True
715,1,1,1,0,True,True
716,1,1,1,0,True,True
717,1,1,1,0,True,True
718,4,4,4,0,True,True
719,1,1,1,0,True,True
720,2,2,2,0,True,True
721,1,1,1,0,True,True
722,4,2,4,2,True,True
723,1,1,1,0,True,True
724,3,3,3,0,True,True
725,3,3,3,0,True,True
726,3,2,3,1,True,True
727,2,7,7,5,True,True
728,1,1,1,0,True,True
729,1,1,1,0,True,True
730,1,1,1,0,True,True
731,1,1,1,0,True,True
732,1,1,1,0,True,True
733,1,1,1,0,True,True
734,1,1,1,0,True,True
735,1,1,1,0,True,True
736,1,1,1,0,True,True
737,3,3,3,0,True,True
738,2,2,2,0,True,True
739,1,1,1,0,True,True
740,1,1,1,0,True,True
741,1,1,1,0,True,True
742,1,1,1,0,True,True
743,3,3,3,0,True,True
744,3,3,3,0,True,True
745,1,1,1,0,True,True
746,1,1,1,0,True,True
747,1,1,1,0,True,True
748,1,1,1,0,True,True
749,4,4,4,0,True,True
750,1,1,1,0,True,True
751,2,2,2,0,True,True
752,1,1,1,0,True,True
753,1,1,1,0,True,True
754,1,1,1,0,True,True
755,1,1,1,0,True,True
756,1,1,1,0,True,True
757,2,2,2,0,True,True
758,1,1,1,0,True,True
759,1,1,1,0,True,True
760,1,1,1,0,True,True
761,1,1,1,0,True,True
762,1,6,6,5,True,False
763,2,5,5,3,True,True
764,1,1,1,0,True,True
765,1,1,1,0,True,True
766,1,1,1,0,True,True
767,1,1,1,0,True,True
768,1,1,1,0,True,True
769,1,1,1,0,True,True
770,1,1,1,0,True,True
771,1,1,1,0,True,True
772,3,3,3,0,True,True
773,3,3,3,0,True,True
774,1,1,1,0,True,True
775,1,1,1,0,True,True
776,1,1,1,0,True,True
777,1,1,1,0,True,True
778,1,1,1,0,True,True
779,1,1,1,0,True,True
780,1,1,1,0,True,True
781,2,2,2,0,True,True
782,1,1,1,0,True,True
783,2,2,2,0,True,True
784,1,1,1,0,True,True
785,1,1,1,0,True,True
786,1,1,1,0,True,True
787,2,2,2,0,True,True
788,2,2,2,0,True,True
789,1,1,1,0,True,True
790,1,1,1,0,True,True
791,1,1,1,0,True,True
792,1,1,1,0,True,True
793,1,1,1,0,True,True
794,1,1,1,0,True,True
795,1,1,1,0,True,True
796,1,1,1,0,True,True
797,2,2,2,0,True,True
798,1,1,1,0,True,True
799,2,2,2,0,True,True
800,1,1,1,0,True,True
801,1,1,1,0,True,True
802,1,1,1,0,True,True
803,2,2,2,0,True,True
804,2,2,2,0,True,True
805,1,1,1,0,True,True
806,1,1,1,0,True,True
807,1,1,1,0,True,True
808,1,1,1,0,True,True
809,1,1,1,0,True,True
810,6,6,6,0,True,True
811,2,2,2,0,True,True
812,6,6,6,0,True,True
813,2,2,2,0,True,True
814,2,2,2,0,True,True
815,2,2,2,0,True,True
816,2,2,2,0,True,True
817,8,7,8,1,True,True
818,4,5,5,1,True,True
819,4,5,5,1,True,True
820,2,2,2,0,True,True
821,5,4,5,1,True,True
822,4,6,6,2,True,True
823,2,2,2,0,True,True
824,2,2,2,0,True,True
825,2,2,2,0,True,True
826,3,2,3,1,True,True
827,4,2,4,2,True,True
828,3,2,3,1,True,True
829,4,2,4,2,True,False
830,3,2,3,1,True,True
831,3,3,3,0,True,True
832,3,3,3,0,True,True
833,1,1,1,0,True,True
834,1,1,1,0,True,True
835,1,1,1,0,True,True
836,1,1,1,0,True,True
837,1,1,1,0,True,True
838,2,2,2,0,True,False
839,2,2,2,0,True,False
840,2,3,3,1,True,False
841,2,2,2,0,True,True
842,2,2,2,0,True,True
843,1,1,1,0,True,True
844,1,1,1,0,True,True
845,1,1,1,0,True,True
846,2,2,2,0,True,True
847,1,1,1,0,True,True
848,1,1,1,0,True,True
849,1,1,1,0,True,True
850,2,2,2,0,True,True
851,1,1,1,0,True,True
852,1,1,1,0,True,True
853,1,1,1,0,True,True
854,1,1,1,0,True,True
855,1,1,1,0,True,True
856,1,1,1,0,True,True
857,1,1,1,0,True,True
858,1,1,1,0,True,True
859,1,1,1,0,True,True
860,1,1,1,0,True,True
861,1,1,1,0,True,True
862,1,1,1,0,True,True
863,1,1,1,0,True,True
864,1,1,1,0,True,True
865,1,1,1,0,True,True
866,1,1,1,0,True,True
867,1,1,1,0,True,True
868,1,1,1,0,True,True
869,7,6,7,1,True,True
870,4,5,5,1,True,True
871,3,2,3,1,True,True
872,3,3,3,0,True,True
873,1,1,1,0,True,True
874,1,1,1,0,True,True
875,1,1,1,0,True,True
876,1,1,1,0,True,True
877,1,1,1,0,True,True
878,3,3,3,0,True,True
879,3,3,3,0,True,True
880,1,1,1,0,True,True
881,1,1,1,0,True,True
882,1,1,1,0,True,True
883,1,1,1,0,True,True
884,2,2,2,0,True,True
885,5,5,5,0,True,True
